-163,16
-105,-85
-191,-126
80,74
-21,-77
-179,130
105,39
60,163
59,-66
104,-67
55,2
-36,3
-164,-26
21,-46
-136,173
-49,52
43,126
-158,-103
-39,-111
132,15
-74,28
183,35
-123,-52
-60,-79
86,23
108,9
-70,0
124,-181
25,-126
-85,146
-168,6
-116,-171
195,74
193,144
142,182
-145,-114
97,-150
-93,-98
14,-38
181,-27
53,13
21,-179
-120,38
178,-1
65,133
182,179
-119,20
1,-128
-28,-138
57,66
194,59
-126,-167
116,199
59,-143
-35,-61
87,159
49,75
-198,133
24,19
132,-183
-25,96
161,30
177,157
85,-169
111,15
-183,-118
-193,23
-37,183
151,-40
-20,-170
72,-154
169,-21
156,-35
1,-52
-90,-90
-70,-138
114,-34
-136,159
-8,-90
-159,-49
90,97
-86,154
-40,-51
-64,57
-178,42
-142,-29
-21,92
-123,-73
-134,21
-20,189
-126,-36
-32,80
-30,-94
96,98
168,-18
70,158
-80,-149
39,-65
-162,-165
181,127
-196,-55
161,-193
9,-27
85,-160
96,-64
-152,-169
7,32
-46,-44
-39,53
109,197
-164,-58
190,-93
74,126
-179,103
-200,-58
-138,-16
44,187
-13,45
-100,-60
-172,29
-181,127
8,118
-176,-43
-9,194
9,-128
-97,108
78,152
66,-173
73,149
49,80
181,154
-3,-157
-93,149
-49,-108
-95,-58
51,-50
-98,13
-139,129
170,155
51,11
-192,-199
31,57
-106,16
40,36
137,-38
28,107
-141,-173
-112,87
143,-88
-135,195
157,-182
168,-167
58,5
32,-20
-91,-29
-138,-129
5,-151
24,28
-193,173
-28,21
-14,-8
-106,-43
-22,172
188,167
-99,113
41,194
6,153
65,110
-42,-191
12,-37
160,163
88,160
197,135
132,-200
-29,-199
-27,74
83,-131
-18,19
-169,-168
163,-100
10,-192
171,40
-160,56
20,149
-108,170
163,136
199,36
16,-159
199,-114
80,-198
-125,-132
11,100
125,15
120,-193
113,-171
139,-164
-175,119
13,132
77,134
-72,121
82,-186
5,-46
119,128
-160,-183
23,152
158,-188
28,-147
100,-7
130,24
129,-94
165,-129
35,-83
-167,52
-87,-169
186,-60
19,-63
160,-157
194,-97
54,-32
58,-138
-82,-7
62,84
143,-178
-144,33
-138,151
-160,-107
137,-173
-31,19
-189,-154
31,62
-148,-140
174,-183
27,59
-22,-13
144,39
-160,185
103,-53
68,-51
41,-72
175,-3
-52,8
197,88
168,31
187,90
-44,-149
74,-148
-160,17
-101,94
-117,133
-104,-6
-69,71
-90,152
191,-89
185,157
-125,186
42,176
71,-67
49,157
2,9
-174,-43
-144,83
-108,64
145,-162
-99,-110
-20,66
78,141
-15,-69
97,81
166,-181
133,-141
-121,160
-197,-178
90,76
158,81
134,134
144,-33
-117,126
184,-19
189,68
-193,-194
51,-60
-58,-163
-30,104
-153,-136
14,-114
-185,104
-3,-74
143,28
-74,-169
-75,-50
125,10
27,54
25,25
82,49
-143,125
-46,164
-82,-55
-23,-160
65,-130
-37,101
192,-180
-40,-88
46,63
-153,-157
85,143
-113,-120
39,-21
37,-55
-80,8
-168,-2
97,-69
29,149
94,183
177,-95
-8,173
108,93
54,-130
-9,170
93,-83
-125,87
105,-199
-154,-9
-90,6
41,127
124,-153
-114,76
-81,133
-42,66
-164,80
43,143
-200,84
101,98
155,11
108,-116
-195,-138
150,-147
-76,149
125,-133
-179,-120
-107,-139
-74,-132
153,13
-120,-134
52,-62
-182,-189
198,100
41,73
-104,-141
7,-145
80,60
38,-137
33,-95
-26,-42
176,-179
156,37
132,109
-72,-198
100,-48
-170,182
40,27
-127,185
8,-186
-191,-68
171,56
6,113
162,122
-98,154
140,-88
-89,188
179,111
81,119
131,100
-118,-127
-71,105
114,-85
-173,-157
157,162
61,117
41,-69
103,-193
-148,-145
172,-75
-176,-138
15,-198
-60,-23
-12,-132
-31,-138
97,37
93,93
60,-91
100,107
-156,175
39,-9
182,-82
-172,21
163,59
-1,-84
-147,-95
197,9
88,32
110,166
-75,58
100,-129
-63,2
62,14
118,-126
-187,84
-128,144
52,-61
-100,-79
-10,153
-26,1
-64,-25
25,-154
-114,72
20,-11
48,3
-45,-74
135,119
-119,143
-135,-127
78,-38
56,-111
151,49
92,-77
99,67
-78,-108
19,183
-132,97
-103,-187
-83,168
-130,1
-101,-56
-40,-198
-40,117
-186,-51
-171,-83
-64,47
-103,-80
-158,-124
59,125
19,-121
-51,-164
75,-167
26,103
35,-149
-4,43
126,-165
109,-157
41,14
-141,183
13,152
179,-131
-64,115
176,116
42,48
-153,130
-82,-105
114,195
-9,48
-1,-130
89,-137
60,-27
-170,51
-101,-18
152,62
47,94
45,-147
-196,69
-129,-191
-11,99
-31,-3
-62,-62
-192,-149
-130,172
-194,175
-55,-66
163,-91
73,23
136,7
-170,-58
115,158
-15,-130
-77,-128
-190,134
-189,174
-43,-123
59,119
-196,-92
-181,33
74,-134
53,-32
129,144
-65,35
-25,-79
-52,-91
-105,129
-73,102
10,121
-19,-81
